"diff","lwr","upr","p adj","Comparison","Year"
-0.0747208360525337,-0.130346712596545,-0.0190949595085219,0.00593006568165955,"Zone_2A-Zone_1","2022"
-0.114746092975932,-0.191942423570712,-0.037549762381152,0.0023182418411215,"Zone_2B-Zone_1","2022"
-0.110115765225646,-0.174346994818834,-0.0458845356324575,0.000509975852745037,"Zone_3-Zone_1","2022"
-0.0400252569233982,-0.119417181545614,0.0393666676988177,0.512583472074251,"Zone_2B-Zone_2A","2022"
-0.0353949291731119,-0.102248912547133,0.0314590542009093,0.471487381654043,"Zone_3-Zone_2A","2022"
0.00463032775028627,-0.0810113117072979,0.0902719672078704,0.99875565014217,"Zone_3-Zone_2B","2022"
-0.0783350132461855,-0.140908245397045,-0.0157617810953256,0.0106837658393767,"Zone_2A-Zone_1","2023"
-0.129723487164054,-0.216561200394151,-0.0428857739339562,0.0022069113337706,"Zone_2B-Zone_1","2023"
-0.121137572095309,-0.193390916948037,-0.0488842272425813,0.000655756597067958,"Zone_3-Zone_1","2023"
-0.0513884739178681,-0.140695998381935,0.0379190505461988,0.400285835876757,"Zone_2B-Zone_2A","2023"
-0.0428025588491237,-0.118006224512936,0.0324011068146888,0.409658564443665,"Zone_3-Zone_2A","2023"
0.0085859150687444,-0.0877518780682261,0.104923708205715,0.994517125260161,"Zone_3-Zone_2B","2023"
-0.0830753697625152,-0.148326373153776,-0.0178243663712545,0.00948757008981971,"Zone_2A-Zone_1","2024"
-0.16375057896927,-0.254304442429695,-0.0731967155088457,0.00029612467925777,"Zone_2B-Zone_1","2024"
-0.116274944687396,-0.197657244298504,-0.0348926450762891,0.00350127552501012,"Zone_3-Zone_1","2024"
-0.0806752092067549,-0.173804577490312,0.0124541590768018,0.104950325493649,"Zone_2B-Zone_2A","2024"
-0.0331995749248812,-0.11743825807744,0.0510391082276775,0.694283646410088,"Zone_3-Zone_2A","2024"
0.0474756342818737,-0.05758846274142,0.152539731305167,0.597523247846855,"Zone_3-Zone_2B","2024"
-0.0397050051575301,-0.109938081554687,0.030528071239627,0.413085620436012,"Zone_2A-Zone_1","2025"
-0.0989150884257491,-0.196382959874995,-0.00144721697650294,0.0458831470120309,"Zone_2B-Zone_1","2025"
-0.0766897942451463,-0.164285830610907,0.0109062421206141,0.0999265513775375,"Zone_3-Zone_1","2025"
-0.059210083268219,-0.159450105605623,0.0410299390691853,0.375636870067406,"Zone_2B-Zone_2A","2025"
-0.0369847890876162,-0.127655300833984,0.0536857226587513,0.671471306236339,"Zone_3-Zone_2A","2025"
0.0222252941806028,-0.0908607024988536,0.135311290860059,0.946113270552047,"Zone_3-Zone_2B","2025"
