,,2025,,,,2024,,,,2023,,,,2022,,,
Lineage (Common Name),Species,Zone_1_2025 MS_Ler,Zone_2A_2025 MS_Ler,Zone_2B_2025 MS_Ler,Zone_3_2025 MS_Ler,Zone_1_2024 MS_Ler,Zone_2A_2024 MS_Ler,Zone_2B_2024 MS_Ler,Zone_3_2024 MS_Ler,Zone_1_2023 NS_LerXT,Zone_2A_2023 NS_LerXT,Zone_2B_2023 NS_LerXT,Zone_3_2023 NS_LerXT,Zone_1_2022 NS_LerXT,Zone_2A_2022 NS_LerXT,Zone_2B_2022 NS_LerXT,Zone_3_2022 NS_LerXT
k__Metazoa;p__Annelida;c__Polychaeta;o__Spionida;f__Spionidae;g__Polydora;s__Polydora cornuta (polychaetes),Polydora cornuta,47,5,0,0,73683,184,19,24,45599,66247,0,24,976,968,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__;f__Capitellidae;g__Capitella;s__Capitella capitata (polychaetes),Capitella capitata,0,0,0,0,0,0,0,0,45,85,0,0,0,20460,16,34276
k__Metazoa;p__Mollusca;c__Bivalvia;o__Pectinida;f__Anomiidae;g__Heteranomia;s__Heteranomia squamula (bivalves),Heteranomia squamula,5375,6372,3866,4289,1146,3725,1381,1810,1189,5311,1631,6072,159,2020,1225,3977
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Electridae;g__Electra;s__Electra pilosa (bryozoans),Electra pilosa,468,730,106,460,3404,6020,10066,4463,2,3466,1613,7238,616,4289,2301,2204
k__Metazoa;p__Arthropoda;c__Thecostraca;o__Balanomorpha;f__Balanidae;g__Amphibalanus;s__Amphibalanus improvisus (acorn barnacles),Amphibalanus improvisus,16,14,6,3,5580,6115,0,0,2251,6825,0,5999,467,10,0,198
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Membraniporidae;g__Membranipora;s__Membranipora membranacea (bryozoans),Membranipora membranacea,605,774,495,602,1487,3157,36,12258,0,667,61,2623,492,42,4,609
k__Metazoa;p__Mollusca;c__Bivalvia;o__Mytilida;f__Mytilidae;g__Modiolus;s__Modiolus modiolus (northern horsemussel),Modiolus modiolus,0,0,0,0,0,0,0,0,0,49,1702,17884,0,40,60,58
k__Metazoa;p__Annelida;c__Polychaeta;o__Sabellida;f__Sabellariidae;g__Sabellaria;s__Sabellaria vulgaris (polychaetes),Sabellaria vulgaris,84,30,531,17,18,43,5,9,11,2127,3969,9137,0,12,10,9
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Temoridae;g__Eurytemora;s__Eurytemora affinis (copepods),Eurytemora affinis,0,0,0,0,0,0,0,0,12356,1900,0,0,947,17,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Campanulariidae;g__Hartlaubella;s__Hartlaubella gelatinosa (hydrozoans),Hartlaubella gelatinosa,505,46,32,39,7119,248,21,23,1297,4632,32,118,532,61,4,9
k__Metazoa;p__Annelida;c__Polychaeta;o__Eunicida;f__Lumbrineridae;g__Ninoe;s__Ninoe nigripes (polychaetes),Ninoe nigripes,0,15,3,8,11,59,8,26,16,13159,62,72,0,0,0,0
k__Metazoa;p__Arthropoda;c__Thecostraca;o__Balanomorpha;f__Balanidae;g__Balanus;s__Balanus crenatus (acorn barnacles),Balanus crenatus,0,0,0,0,2,21,9,7,10229,27,20,10,0,0,0,0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Paracalanidae;g__Paracalanus;s__Paracalanus parvus (copepods),Paracalanus parvus,0,362,54,0,0,644,44,0,435,2704,156,2720,83,299,69,314
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Centropagidae;g__Centropages;s__Centropages typicus (copepods),Centropages typicus,0,0,0,0,0,0,5,25,764,973,1016,4540,17,103,17,168
k__Metazoa;p__Echinodermata;c__Echinoidea;o__Clypeasteroida;f__Echinarachniidae;g__Echinarachnius;s__Echinarachnius parma (sand dollars),Echinarachnius parma,4,3,0,0,0,0,0,0,0,0,0,7594,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Obelia;s__Obelia longissima (hydrozoans),Obelia longissima,7071,21,6,0,61,92,7,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Ctenophora;c__Tentaculata;o__Cydippida;f__Pleurobrachiidae;g__Pleurobrachia;s__Pleurobrachia pileus (sea gooseberries),Pleurobrachia pileus,0,0,0,0,0,0,0,0,8,234,14,6320,0,0,0,22
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Cyclopoida;f__Oithonidae;g__Oithona;s__Oithona similis (copepods),Oithona similis,31,9,0,0,14,85,121,146,5,366,1139,1249,393,311,381,1829
k__Metazoa;p__Nemertea;c__Pilidiophora;o__Heteronemertea;f__Lineidae;g__Siphonenteron;s__Siphonenteron bicolour (heteronemertine worms),Siphonenteron bicolour,0,0,0,0,0,0,0,0,0,0,69,5495,0,0,0,0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Nuculida;f__Nuculidae;g__Nucula;s__Nucula proxima (atlantic nutclam),Nucula proxima,1214,392,14,27,28,108,14,54,11,83,53,2989,0,0,0,0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Venerida;f__Arcticidae;g__Arctica;s__Arctica islandica (bivalves),Arctica islandica,0,0,0,0,0,0,0,0,0,1408,1891,781,0,0,0,0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Ctenostomatida;f__Alcyonidiidae;g__Alcyonidium;s__Alcyonidium polyoum (bryozoans),Alcyonidium polyoum,73,5,0,7,128,155,21,18,2,13,8,60,32,2087,21,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Spionida;f__Spionidae;g__Streblospio;s__Streblospio benedicti (polychaetes),Streblospio benedicti,493,127,0,12,422,771,24,77,106,210,14,2,85,22,0,15
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Clausocalanidae;g__Pseudocalanus;s__Pseudocalanus newmani (copepods),Pseudocalanus newmani,126,0,0,68,0,0,0,0,0,745,1000,170,0,0,0,0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Centropagidae;g__Centropages;s__Centropages hamatus (copepods),Centropages hamatus,0,3,0,521,0,983,0,0,0,127,0,329,4,36,0,0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Flustridae;g__Flustra;s__Flustra foliacea (greater hornwrack),Flustra foliacea,10,60,42,97,5,71,78,184,25,107,215,307,16,218,138,319
k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Fundulidae;g__Fundulus;s__Fundulus heteroclitus (mummichog),Fundulus heteroclitus,129,37,7,7,591,186,0,10,363,74,0,0,297,8,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Haleciidae;g__Halecium;s__Halecium halecinum (hydrozoans),Halecium halecinum,46,266,103,174,6,147,117,196,0,21,27,126,5,118,31,81
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Sertulariidae;g__Dynamena;s__Dynamena pumila (hydrozoans),Dynamena pumila,29,6,77,45,3,51,67,58,10,176,532,319,3,54,9,14
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__Microgadus tomcod (Atlantic tomcod),Microgadus tomcod,201,0,0,5,787,54,0,0,65,77,0,0,69,16,0,0
