	Musq_21_25	Musq_19_25	Musq_17_25	Musq_15_25	Musq_13_25	Musq_11_25	Musq_09_25	Musq_07_25	Musq_05_25	Musq_03_25	Musq_01_25	Musq_23_25	Musq_25_25	Zone_3_1_25	Zone_3_3_25	Musq_31_25	Zone_3_2_25	Musq_29_25	Zone_2A_10_25	Zone_2A_1_25	Musq_27_25	Zone_2A_12_25	Zone_2B_1_25	Zone_2B_3_25	Zone_2B_2_25
Musq_01_25	0.42857142857142855	0.5294117647058824	0.4117647058823529	0.3333333333333333	0.26666666666666666	0.3125	0.3125	0.21428571428571427	0.375	0.16666666666666666	0.0	0.5882352941176471	0.5294117647058824	0.4666666666666667	0.5625	0.4	0.5	0.5555555555555556	0.38461538461538464	0.42857142857142855	0.5625	0.5	0.47058823529411764	0.5333333333333333	0.6
Musq_23_25	0.5333333333333333	0.5294117647058824	0.4117647058823529	0.5294117647058824	0.47058823529411764	0.3125	0.5	0.4375	0.5555555555555556	0.5333333333333333	0.5882352941176471	0.0	0.3333333333333333	0.4666666666666667	0.35714285714285715	0.2857142857142857	0.38461538461538464	0.47058823529411764	0.38461538461538464	0.42857142857142855	0.4666666666666667	0.4	0.375	0.42857142857142855	0.4444444444444444
Musq_25_25	0.4666666666666667	0.5555555555555556	0.4444444444444444	0.5555555555555556	0.4117647058823529	0.4444444444444444	0.4444444444444444	0.375	0.5	0.4666666666666667	0.5294117647058824	0.3333333333333333	0.0	0.4	0.2857142857142857	0.21428571428571427	0.3076923076923077	0.4117647058823529	0.3076923076923077	0.35714285714285715	0.2857142857142857	0.21428571428571427	0.2	0.35714285714285715	0.29411764705882354
Zone_3_1_25	0.5	0.5882352941176471	0.5555555555555556	0.5	0.5294117647058824	0.5555555555555556	0.47058823529411764	0.4	0.4375	0.5	0.4666666666666667	0.4666666666666667	0.4	0.0	0.3076923076923077	0.35714285714285715	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.38461538461538464	0.16666666666666666	0.23076923076923078	0.3333333333333333	0.38461538461538464	0.5
Zone_3_3_25	0.38461538461538464	0.5882352941176471	0.47058823529411764	0.5882352941176471	0.4375	0.47058823529411764	0.47058823529411764	0.4	0.4375	0.5	0.5625	0.35714285714285715	0.2857142857142857	0.3076923076923077	0.0	0.23076923076923078	0.18181818181818182	0.3333333333333333	0.3333333333333333	0.25	0.3076923076923077	0.23076923076923078	0.3333333333333333	0.25	0.4117647058823529
Musq_31_25	0.3076923076923077	0.5294117647058824	0.3125	0.4375	0.26666666666666666	0.3125	0.3125	0.21428571428571427	0.375	0.3076923076923077	0.4	0.2857142857142857	0.21428571428571427	0.35714285714285715	0.23076923076923078	0.0	0.25	0.375	0.25	0.16666666666666666	0.35714285714285715	0.2857142857142857	0.26666666666666666	0.3076923076923077	0.35294117647058826
Zone_3_2_25	0.2727272727272727	0.625	0.5	0.625	0.4666666666666667	0.5	0.5	0.42857142857142855	0.4666666666666667	0.4166666666666667	0.5	0.38461538461538464	0.3076923076923077	0.3333333333333333	0.18181818181818182	0.25	0.0	0.35714285714285715	0.2	0.1	0.3333333333333333	0.25	0.35714285714285715	0.1	0.4375
Musq_29_25	0.5	0.65	0.55	0.5789473684210527	0.5263157894736842	0.55	0.47368421052631576	0.4117647058823529	0.4444444444444444	0.5882352941176471	0.5555555555555556	0.47058823529411764	0.4117647058823529	0.3333333333333333	0.3333333333333333	0.375	0.35714285714285715	0.0	0.4666666666666667	0.4	0.4375	0.26666666666666666	0.35294117647058826	0.4	0.5
Zone_2A_10_25	0.4166666666666667	0.5333333333333333	0.5	0.5333333333333333	0.4666666666666667	0.5	0.5	0.42857142857142855	0.5625	0.2727272727272727	0.38461538461538464	0.38461538461538464	0.3076923076923077	0.3333333333333333	0.3333333333333333	0.25	0.2	0.4666666666666667	0.0	0.2727272727272727	0.3333333333333333	0.38461538461538464	0.35714285714285715	0.2727272727272727	0.4375
Zone_2A_1_25	0.18181818181818182	0.6470588235294118	0.4375	0.5625	0.4	0.4375	0.4375	0.35714285714285715	0.4	0.3333333333333333	0.42857142857142855	0.42857142857142855	0.35714285714285715	0.38461538461538464	0.25	0.16666666666666666	0.1	0.4	0.2727272727272727	0.0	0.38461538461538464	0.3076923076923077	0.4	0.18181818181818182	0.47058823529411764
Musq_27_25	0.5	0.5882352941176471	0.5555555555555556	0.5882352941176471	0.5294117647058824	0.5555555555555556	0.5555555555555556	0.5	0.5294117647058824	0.5	0.5625	0.4666666666666667	0.2857142857142857	0.16666666666666666	0.3076923076923077	0.35714285714285715	0.3333333333333333	0.4375	0.3333333333333333	0.38461538461538464	0.0	0.23076923076923078	0.3333333333333333	0.38461538461538464	0.4117647058823529
Zone_2A_12_25	0.42857142857142855	0.6111111111111112	0.5	0.5294117647058824	0.47058823529411764	0.5	0.4117647058823529	0.3333333333333333	0.375	0.5333333333333333	0.5	0.4	0.21428571428571427	0.23076923076923078	0.23076923076923078	0.2857142857142857	0.25	0.26666666666666666	0.38461538461538464	0.3076923076923077	0.23076923076923078	0.0	0.14285714285714285	0.3076923076923077	0.35294117647058826
Zone_2B_1_25	0.4	0.5	0.3888888888888889	0.5	0.4444444444444444	0.47368421052631576	0.3888888888888889	0.3125	0.35294117647058826	0.5	0.47058823529411764	0.375	0.2	0.3333333333333333	0.3333333333333333	0.26666666666666666	0.35714285714285715	0.35294117647058826	0.35714285714285715	0.4	0.3333333333333333	0.14285714285714285	0.0	0.4	0.23529411764705882
Zone_2B_3_25	0.3333333333333333	0.6470588235294118	0.5294117647058824	0.6470588235294118	0.5	0.5294117647058824	0.5294117647058824	0.4666666666666667	0.5	0.46153846153846156	0.5333333333333333	0.42857142857142855	0.35714285714285715	0.38461538461538464	0.25	0.3076923076923077	0.1	0.4	0.2727272727272727	0.18181818181818182	0.38461538461538464	0.3076923076923077	0.4	0.0	0.375
Zone_2B_2_25	0.47058823529411764	0.55	0.45	0.6190476190476191	0.5	0.5238095238095238	0.5238095238095238	0.47368421052631576	0.5	0.5555555555555556	0.6	0.4444444444444444	0.29411764705882354	0.5	0.4117647058823529	0.35294117647058826	0.4375	0.5	0.4375	0.47058823529411764	0.4117647058823529	0.35294117647058826	0.23529411764705882	0.375	0.0
